America,Russian,Germany,China,Japan,EU28,India,Korea,Taiwan,others
4619547,1344057,1088199,935241,854796,4267456,219197,61259,35844,2436124.472
4469658,1345348,1082859,938678,854114,4257731,220128,61865,36113,2490661.623
4722847,1409349,1107961,1002859,902327,4376757,229798,63794,40701,2697462.806
4927895,1488058,1157441,1046221,1014172,4597375,228339,78853,45350,2970135.083
4758237,1561533,1124654,1064372,1027942,4478431,246135,83010,44359,3108665.727
4537030,1669385,1063775,1218349,966917,4364970,263453,90073,48093,3211776.768
4845888,1725170,1124475,1266085,994822,4618991,282450,101267,56941,3417788.601
5001737,1763885,1103598,1423856,1019433,4609272,287959,115129,61404,3593922.178
5002450,1881846,1144682,1617347,1017829,4731079,273625,121638,69855,3765327.726
5046412,1908330,1195241,1658122,1043892,4917630,295878,138701,73965,3915848.685
4814743,1962123,1143568,1612031,1042098,4776968,309703,140056,81419,4089875.688
4740466,1961483,1108426,1585944,1025919,4576142,344717,146912,74782,4025652.3
4478790,1990107,1062396,1657113,976842,4458958,370459,146444,73747,4106849.593
4452639,2016223,1075872,1742328,976568,4423066,394285,159474,78759,4121787.219
4669927,2040052,1092416,1900188,1047736,4437028,432213,179807,80718,4188190.849
4691155,2083856,1097249,1900003,1021943,4480659,455090,188327,80195,4331821.977
4658266,2143376,1091918,2008511,1017909,4504377,494332,196130,92857,4491338.639
4820261,2199435,1081272,2147794,1021440,4549555,529030,201939,98097,4722769.557
5048422,2249991,1074335,2290904,1096341,4544655,566935,228162,114340,4919860.311
5109195,2259380,1059738,2361743,1126197,4543951,610559,239791,123978,5103302.686
5003720,2394842,1020145,2293540,1158386,4385705,649205,269644,125979,5206573.973
4963711,2365562,992265,2416011,1166133,4331232,689961,294936,135015,5243929.782
5037200,2190176,938564,2509986,1168985,4169726,730420,313672,143075,5326334.78
5150601,1991358,928482,2823536,1159131,4075156,761027,343878,153816,5281919.68
5238767,1783910,917136,2998238,1218100,4060369,812730,370251,162463,5341731.628
5294648,1751583,911172,3303544,1233527,4126226,871081,402232,171333,5538183.133
5451143,1704989,938054,3283612,1244762,4237299,918112,428268,181365,5670880.866
5619801,1598095,905065,3385260,1239643,4143063,956343,451087,196577,5933442.619
5647380,1602088,898471,3443250,1200592,4142992,969256,386201,205072,6033296.169
5674861,1650281,864763,3372139,1238791,4076820,1041539,422234,213293,6177678.856
5873867,1678389,862627,3631897,1257082,4095429,1058746,480363,231902,6416327.589
5818660,1687189,879101,3796589,1242873,4161483,1074863,494292,236388,6442747.797
5753929,1670066,864159,4090986,1285929,4132899,1112588,495866,244537,6656695.522
5820519,1738853,856223,4755562,1286981,4228103,1149557,499931,254652,6940173.718
5879655,1743571,863310,5481926,1286853,4252585,1219403,520160,264057,7248512.684
5886318,1736082,830597,6174717,1293862,4214608,1270040,524030,271290,7590465.73
5765135,1764650,844435,6870759,1289035,4232410,1367406,530686,279710,7851423.725
5847966,1766346,817319,7515037,1310630,4193189,1439192,535783,282292,8251378.268
5659277,1743343,828292,7699949,1226781,4108016,1536650,546589,270256,8513597.268
5243236,1652898,768284,8246582,1163613,3763243,1738106,556099,256235,8433335.666
5519484,1735583,811861,8986614,1219095,3883284,1848710,600870,273033,8782119.972
5391417,1820098,793891,9844525,1258289,3744640,1961663,617612,272157,9021490.462
5164192,1833976,801677,10056756,1293511,3713457,2090857,614771,274256,9124585.51
5255530,1824579,815812,10503137,1312750,3620322,2191277,611531,277397,9259716.088
5312226,1822210,773020,10711037,1281569,3423613,2334381,611741,280987,9533281.176
5172338,1760895,777905,10641789,1252890,3469671,2454968,617285,279174,9634794.702
